0.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779261747
1.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779261812
2.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779261879
3.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779261943
4.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779262015
5.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779262078
6.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779262143
7.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779262207
8.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779262276
9.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779262341
10.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779262407
11.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779262471
12.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779262545
13.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779262604
14.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779262669
15.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779262735
16.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779262806
17.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779262868
18.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779262934
19.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779263000
20.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779263078
21.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779263146
22.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779263198
23.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779263263
